[2026-04-10T19:26:53,914-07:00] <load-db-privacy-tokens> DEBUG tasks  - Started task[load-db-privacy-tokens]
[2026-04-10T19:27:09,163-07:00] <ble-load-keystore> DEBUG tasks  - Finished task[ble-load-keystore] in 17 ms
[2026-04-10T19:27:09,170-07:00] <get-ulp-manifest> DEBUG tasks  - Started task[get-ulp-manifest]
[2026-04-10T19:27:09,178-07:00] <get-ulp-manifest> DEBUG tasks  - Finished task[get-ulp-manifest] in 8 ms
[2026-04-10T19:27:09,236-07:00] <stamgr> DEBUG tasks  - Started task[stamgr]
[2026-04-10T19:27:09,237-07:00] <stamgr> DEBUG tasks  - Finished task[stamgr] in 1 ms
[2026-04-10T19:27:09,238-07:00] <wss-connection> DEBUG tasks  - Started task[wss-connection]
[2026-04-10T19:27:09,238-07:00] <wss-connection> DEBUG tasks  - Finished task[wss-connection] in 0 ms
[2026-04-10T19:27:09,263-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:27:09,264-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:27:09,290-07:00] <webrtc-connection> DEBUG tasks  - Started task[webrtc-connection]
[2026-04-10T19:27:09,291-07:00] <webrtc-connection> DEBUG tasks  - Finished task[webrtc-connection] in 1 ms
[2026-04-10T19:27:14,238-07:00] <ips-alert-caching> DEBUG tasks  - Started task[ips-alert-caching]
[2026-04-10T19:27:14,243-07:00] <ips-alert-caching> DEBUG tasks  - Finished task[ips-alert-caching] in 5 ms
[2026-04-10T19:27:14,265-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:27:14,265-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:27:19,264-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:27:19,265-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:27:24,265-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:27:24,266-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:27:29,139-07:00] <traffic-flows-throughput> DEBUG tasks  - Started task[traffic-flows-throughput]
[2026-04-10T19:27:29,139-07:00] <traffic-flows-throughput> INFO  tasks  - Traffic Flows throughput: 0 incoming flow events in last 30001ms. (0.0/fps)
[2026-04-10T19:27:29,140-07:00] <traffic-flows-throughput> DEBUG tasks  - Finished task[traffic-flows-throughput] in 2 ms
[2026-04-10T19:27:29,200-07:00] <thread-monitor> DEBUG tasks  - Started task[thread-monitor]
[2026-04-10T19:27:29,201-07:00] <thread-monitor> INFO  tasks  - connector[webapi]	active=0(2)/200,  	queue=0/1000,	completed=50
[2026-04-10T19:27:29,201-07:00] <thread-monitor> INFO  tasks  - connector[inform]	active=0(1)/200,  	queue=0/200,	completed=0
[2026-04-10T19:27:29,201-07:00] <thread-monitor> INFO  tasks  - connector[portal]	active=0(0)/200,  	queue=0/1000,	completed=0
[2026-04-10T19:27:29,201-07:00] <thread-monitor> INFO  tasks  - connector[support]	active=0(0)/200,  	queue=0/1000,	completed=0
[2026-04-10T19:27:29,202-07:00] <thread-monitor> INFO  tasks  - async[ws-notify]	active=0(0)/0,  	queue=0/100,	completed=0
[2026-04-10T19:27:29,202-07:00] <thread-monitor> INFO  tasks  - async[inform_stat]	active=0(6)/6,  	queue=0/5,	completed=0
[2026-04-10T19:27:29,202-07:00] <thread-monitor> INFO  tasks  - async[external-cmd]	active=0(0)/0,  	queue=0/0,	completed=0
[2026-04-10T19:27:29,202-07:00] <thread-monitor> INFO  tasks  - async[firmware-dl]	active=0(0)/0,  	queue=0/100,	completed=0
[2026-04-10T19:27:29,202-07:00] <thread-monitor> INFO  tasks  - async[event-async]	active=0(0)/0,  	queue=0,	completed=0
[2026-04-10T19:27:29,203-07:00] <thread-monitor> INFO  tasks  - scheduled[highest]	active=0(0)/0,  	queue=0,	completed=0
[2026-04-10T19:27:29,203-07:00] <thread-monitor> INFO  tasks  - scheduled[standard]	active=1(2)/2,  	queue=42,	completed=34
[2026-04-10T19:27:29,203-07:00] <thread-monitor> INFO  tasks  - scheduled[lowest]	active=0(1)/1,  	queue=12,	completed=6
[2026-04-10T19:27:29,204-07:00] <thread-monitor> INFO  tasks  - scheduled[alarms]	active=0(0)/0,  	queue=0,	completed=0
[2026-04-10T19:27:29,204-07:00] <thread-monitor> DEBUG tasks  - Finished task[thread-monitor] in 4 ms
[2026-04-10T19:27:29,237-07:00] <lte-device-license-check> DEBUG tasks  - Started task[lte-device-license-check]
[2026-04-10T19:27:29,239-07:00] <lte-device-license-check> DEBUG tasks  - Finished task[lte-device-license-check] in 2 ms
[2026-04-10T19:27:29,266-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:27:29,267-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:27:34,268-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:27:34,268-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:27:39,268-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:27:39,269-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:27:44,270-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:27:44,270-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:27:49,269-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:27:49,270-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:27:54,270-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:27:54,271-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:27:57,787-07:00] <sync-uidb> DEBUG tasks  - Started task[sync-uidb]
[2026-04-10T19:27:58,308-07:00] <sync-uidb> INFO  tasks  - [UIDB] Updated UiDb snapshot version: 5dcd2627d6c8e6e8e7d483752cf42b8d7e229fdf
[2026-04-10T19:27:58,311-07:00] <sync-uidb> DEBUG tasks  - Finished task[sync-uidb] in 524 ms
[2026-04-10T19:27:59,130-07:00] <autolink-registry-flush> DEBUG tasks  - Started task[autolink-registry-flush]
[2026-04-10T19:27:59,131-07:00] <autolink-registry-flush> DEBUG tasks  - Finished task[autolink-registry-flush] in 1 ms
[2026-04-10T19:27:59,142-07:00] <live-performance-analytics> DEBUG tasks  - Started task[live-performance-analytics]
[2026-04-10T19:27:59,143-07:00] <trigger-throttling-cache-flush> DEBUG tasks  - Started task[trigger-throttling-cache-flush]
[2026-04-10T19:27:59,143-07:00] <live-performance-analytics> DEBUG tasks  - Finished task[live-performance-analytics] in 1 ms
[2026-04-10T19:27:59,143-07:00] <trigger-throttling-cache-flush> DEBUG tasks  - Finished task[trigger-throttling-cache-flush] in 0 ms
[2026-04-10T19:27:59,233-07:00] <crash-report> DEBUG tasks  - Started task[crash-report]
[2026-04-10T19:27:59,234-07:00] <check-network-interfaces> DEBUG tasks  - Started task[check-network-interfaces]
[2026-04-10T19:27:59,234-07:00] <autoupdate-check> DEBUG tasks  - Started task[autoupdate-check]
[2026-04-10T19:27:59,234-07:00] <check-network-interfaces> DEBUG tasks  - Finished task[check-network-interfaces] in 0 ms
[2026-04-10T19:27:59,235-07:00] <disk-usage-check> DEBUG tasks  - Started task[disk-usage-check]
[2026-04-10T19:27:59,235-07:00] <crash-report> DEBUG tasks  - Finished task[crash-report] in 2 ms
[2026-04-10T19:27:59,237-07:00] <disk-usage-check> DEBUG tasks  - Finished task[disk-usage-check] in 2 ms
[2026-04-10T19:27:59,238-07:00] <sdn-connection> DEBUG tasks  - Started task[sdn-connection]
[2026-04-10T19:27:59,239-07:00] <sdn-connection> DEBUG tasks  - Finished task[sdn-connection] in 1 ms
[2026-04-10T19:27:59,239-07:00] <cache-stats> DEBUG tasks  - Started task[cache-stats]
[2026-04-10T19:27:59,241-07:00] <cache-stats> DEBUG tasks  - Finished task[cache-stats] in 2 ms
[2026-04-10T19:27:59,241-07:00] <print-time-series-cache-stats> DEBUG tasks  - Started task[print-time-series-cache-stats]
[2026-04-10T19:27:59,241-07:00] <print-time-series-cache-stats> DEBUG tasks  - Finished task[print-time-series-cache-stats] in 0 ms
[2026-04-10T19:27:59,271-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:27:59,272-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:27:59,887-07:00] <autoupdate-check> DEBUG tasks  - Finished task[autoupdate-check] in 653 ms
[2026-04-10T19:28:04,272-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:04,272-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:28:07,730-07:00] <device-state-check> DEBUG tasks  - Started task[device-state-check]
[2026-04-10T19:28:07,732-07:00] <device-state-check> DEBUG tasks  - Finished task[device-state-check] in 2 ms
[2026-04-10T19:28:09,176-07:00] <get-ulp-manifest> DEBUG tasks  - Started task[get-ulp-manifest]
[2026-04-10T19:28:09,179-07:00] <get-ulp-manifest> DEBUG tasks  - Finished task[get-ulp-manifest] in 3 ms
[2026-04-10T19:28:09,235-07:00] <stamgr> DEBUG tasks  - Started task[stamgr]
[2026-04-10T19:28:09,235-07:00] <stamgr> DEBUG tasks  - Finished task[stamgr] in 0 ms
[2026-04-10T19:28:09,273-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:09,273-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:28:09,287-07:00] <ztp-initial-sync> DEBUG tasks  - Started task[ztp-initial-sync]
[2026-04-10T19:28:09,288-07:00] <webrtc-connection> DEBUG tasks  - Started task[webrtc-connection]
[2026-04-10T19:28:09,288-07:00] <webrtc-connection> DEBUG tasks  - Finished task[webrtc-connection] in 0 ms
[2026-04-10T19:28:09,289-07:00] <ztp-initial-sync> DEBUG tasks  - Finished task[ztp-initial-sync] in 2 ms
[2026-04-10T19:28:14,274-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:14,274-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:28:19,273-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:19,273-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:28:24,274-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:24,274-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:28:29,137-07:00] <traffic-flows-throughput> DEBUG tasks  - Started task[traffic-flows-throughput]
[2026-04-10T19:28:29,138-07:00] <traffic-flows-throughput> INFO  tasks  - Traffic Flows throughput: 0 incoming flow events in last 60001ms. (0.0/fps)
[2026-04-10T19:28:29,138-07:00] <traffic-flows-throughput> DEBUG tasks  - Finished task[traffic-flows-throughput] in 1 ms
[2026-04-10T19:28:29,202-07:00] <thread-monitor> DEBUG tasks  - Started task[thread-monitor]
[2026-04-10T19:28:29,203-07:00] <thread-monitor> INFO  tasks  - connector[webapi]	active=0(2)/200,  	queue=0/1000,	completed=50
[2026-04-10T19:28:29,203-07:00] <thread-monitor> INFO  tasks  - connector[inform]	active=0(1)/200,  	queue=0/200,	completed=0
[2026-04-10T19:28:29,204-07:00] <thread-monitor> INFO  tasks  - connector[portal]	active=0(0)/200,  	queue=0/1000,	completed=0
[2026-04-10T19:28:29,205-07:00] <thread-monitor> INFO  tasks  - connector[support]	active=0(0)/200,  	queue=0/1000,	completed=0
[2026-04-10T19:28:29,206-07:00] <thread-monitor> INFO  tasks  - async[ws-notify]	active=0(0)/0,  	queue=0/100,	completed=0
[2026-04-10T19:28:29,206-07:00] <thread-monitor> INFO  tasks  - async[inform_stat]	active=0(6)/6,  	queue=0/5,	completed=0
[2026-04-10T19:28:29,207-07:00] <thread-monitor> INFO  tasks  - async[external-cmd]	active=0(0)/0,  	queue=0/0,	completed=0
[2026-04-10T19:28:29,208-07:00] <thread-monitor> INFO  tasks  - async[firmware-dl]	active=0(0)/0,  	queue=0/100,	completed=0
[2026-04-10T19:28:29,208-07:00] <thread-monitor> INFO  tasks  - async[event-async]	active=0(0)/0,  	queue=0,	completed=0
[2026-04-10T19:28:29,209-07:00] <thread-monitor> INFO  tasks  - scheduled[highest]	active=0(0)/0,  	queue=0,	completed=0
[2026-04-10T19:28:29,209-07:00] <thread-monitor> INFO  tasks  - scheduled[standard]	active=1(2)/2,  	queue=41,	completed=52
[2026-04-10T19:28:29,210-07:00] <thread-monitor> INFO  tasks  - scheduled[lowest]	active=0(1)/1,  	queue=12,	completed=19
[2026-04-10T19:28:29,211-07:00] <thread-monitor> INFO  tasks  - scheduled[alarms]	active=0(0)/0,  	queue=0,	completed=0
[2026-04-10T19:28:29,211-07:00] <thread-monitor> DEBUG tasks  - Finished task[thread-monitor] in 9 ms
[2026-04-10T19:28:29,274-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:29,275-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:28:34,275-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:34,276-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:28:39,276-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:39,276-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:28:44,277-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:44,277-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:28:49,276-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:49,276-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:28:54,277-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:54,277-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:28:59,128-07:00] <autolink-registry-flush> DEBUG tasks  - Started task[autolink-registry-flush]
[2026-04-10T19:28:59,129-07:00] <autolink-registry-flush> DEBUG tasks  - Finished task[autolink-registry-flush] in 1 ms
[2026-04-10T19:28:59,141-07:00] <live-performance-analytics> DEBUG tasks  - Started task[live-performance-analytics]
[2026-04-10T19:28:59,141-07:00] <trigger-throttling-cache-flush> DEBUG tasks  - Started task[trigger-throttling-cache-flush]
[2026-04-10T19:28:59,141-07:00] <live-performance-analytics> DEBUG tasks  - Finished task[live-performance-analytics] in 0 ms
[2026-04-10T19:28:59,141-07:00] <trigger-throttling-cache-flush> DEBUG tasks  - Finished task[trigger-throttling-cache-flush] in 0 ms
[2026-04-10T19:28:59,232-07:00] <check-network-interfaces> DEBUG tasks  - Started task[check-network-interfaces]
[2026-04-10T19:28:59,233-07:00] <check-network-interfaces> DEBUG tasks  - Finished task[check-network-interfaces] in 1 ms
[2026-04-10T19:28:59,278-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:28:59,278-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:29:04,278-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:29:04,279-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:29:07,730-07:00] <device-state-check> DEBUG tasks  - Started task[device-state-check]
[2026-04-10T19:29:07,731-07:00] <device-state-check> DEBUG tasks  - Finished task[device-state-check] in 1 ms
[2026-04-10T19:29:09,177-07:00] <get-ulp-manifest> DEBUG tasks  - Started task[get-ulp-manifest]
[2026-04-10T19:29:09,179-07:00] <get-ulp-manifest> DEBUG tasks  - Finished task[get-ulp-manifest] in 3 ms
[2026-04-10T19:29:09,233-07:00] <stamgr> DEBUG tasks  - Started task[stamgr]
[2026-04-10T19:29:09,233-07:00] <stamgr> DEBUG tasks  - Finished task[stamgr] in 0 ms
[2026-04-10T19:29:09,279-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:29:09,279-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:29:09,286-07:00] <webrtc-connection> DEBUG tasks  - Started task[webrtc-connection]
[2026-04-10T19:29:09,286-07:00] <webrtc-connection> DEBUG tasks  - Finished task[webrtc-connection] in 0 ms
[2026-04-10T19:29:14,279-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:29:14,280-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:29:19,279-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:29:19,279-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:29:24,279-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:29:24,280-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:29:29,136-07:00] <traffic-flows-throughput> DEBUG tasks  - Started task[traffic-flows-throughput]
[2026-04-10T19:29:29,136-07:00] <traffic-flows-throughput> INFO  tasks  - Traffic Flows throughput: 0 incoming flow events in last 60001ms. (0.0/fps)
[2026-04-10T19:29:29,137-07:00] <traffic-flows-throughput> DEBUG tasks  - Finished task[traffic-flows-throughput] in 1 ms
[2026-04-10T19:29:29,209-07:00] <thread-monitor> DEBUG tasks  - Started task[thread-monitor]
[2026-04-10T19:29:29,209-07:00] <thread-monitor> INFO  tasks  - connector[webapi]	active=0(2)/200,  	queue=0/1000,	completed=50
[2026-04-10T19:29:29,210-07:00] <thread-monitor> INFO  tasks  - connector[inform]	active=0(1)/200,  	queue=0/200,	completed=0
[2026-04-10T19:29:29,210-07:00] <thread-monitor> INFO  tasks  - connector[portal]	active=0(0)/200,  	queue=0/1000,	completed=0
[2026-04-10T19:29:29,210-07:00] <thread-monitor> INFO  tasks  - connector[support]	active=0(0)/200,  	queue=0/1000,	completed=0
[2026-04-10T19:29:29,210-07:00] <thread-monitor> INFO  tasks  - async[ws-notify]	active=0(0)/0,  	queue=0/100,	completed=0
[2026-04-10T19:29:29,210-07:00] <thread-monitor> INFO  tasks  - async[inform_stat]	active=0(6)/6,  	queue=0/5,	completed=0
[2026-04-10T19:29:29,211-07:00] <thread-monitor> INFO  tasks  - async[external-cmd]	active=0(0)/0,  	queue=0/0,	completed=0
[2026-04-10T19:29:29,211-07:00] <thread-monitor> INFO  tasks  - async[firmware-dl]	active=0(0)/0,  	queue=0/100,	completed=0
[2026-04-10T19:29:29,211-07:00] <thread-monitor> INFO  tasks  - async[event-async]	active=0(0)/0,  	queue=0,	completed=0
[2026-04-10T19:29:29,211-07:00] <thread-monitor> INFO  tasks  - scheduled[highest]	active=0(0)/0,  	queue=0,	completed=0
[2026-04-10T19:29:29,211-07:00] <thread-monitor> INFO  tasks  - scheduled[standard]	active=1(2)/2,  	queue=41,	completed=62
[2026-04-10T19:29:29,211-07:00] <thread-monitor> INFO  tasks  - scheduled[lowest]	active=0(1)/1,  	queue=12,	completed=31
[2026-04-10T19:29:29,212-07:00] <thread-monitor> INFO  tasks  - scheduled[alarms]	active=0(0)/0,  	queue=0,	completed=0
[2026-04-10T19:29:29,212-07:00] <thread-monitor> DEBUG tasks  - Finished task[thread-monitor] in 3 ms
[2026-04-10T19:29:29,280-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:29:29,281-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:29:34,281-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:29:34,281-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:29:39,282-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:29:39,282-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:29:44,282-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:29:44,283-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:29:49,282-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:29:49,282-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2026-04-10T19:29:54,282-07:00] <tracer> DEBUG tasks  - Started task[tracer]
[2026-04-10T19:29:54,283-07:00] <tracer> DEBUG tasks  - Finished task[tracer] in 1 ms
[2026-04-10T19:29:57,803-07:00] <duplicate-ip-service> DEBUG tasks  - Started task[duplicate-ip-service]
[2026-04-10T19:29:57,805-07:00] <document-pruning-by-count> DEBUG tasks  - Started task[document-pruning-by-count]
[2026-04-10T19:29:57,810-07:00] <duplicate-ip-service> DEBUG tasks  - Finished task[duplicate-ip-service] in 7 ms
